播客名称,简介,标签,评分,排名,剧集名,剧集介绍,audio链接
,,,,,When Science and Superstitions Collide,"This is the THIRTEENTH season of the show! So we’re diving into stories about superstitions and luck. We’ll share the eerie tale of a 13-legged sea creature. We’ll talk about a hot new telescope that’s trying to look back 13 billion years ago to uncover the secrets of the universe. And we’ll talk about a squeaky superstition that involves a rat — as the tooth fairy. We speak to marine biologist Dr. Julian Evans, astrophysicist Dr. Jeyhan Kartaltepe, and biologist Dr. Philip Cox. UPDATE 12/16/22: A previous version of this episode incorrectly conflated the units of pressure and force when comparing the bites of great white sharks and rats. The episode has been updated to make the distinction between pressure and force more clear.Here’s a link to our transcript: http://bit.ly/3ujIgo0This episode was produced by Rose Rimler, Michelle Dang, Meryl Horn, and Disha Bhagat. We’re edited by Blythe Terrell. Wendy Zukerman is our Executive Producer. Fact checking by Eva Dasher. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, and Peter Leonard. And a big thanks to the researchers we spoke to, including Professor Eduardo Fernandez-Duque, Dr. Ron Wasserstein, Professor Sander Greenland, Professor Natalie Batalha, and Dr. Terry Gosliner. Special thanks to Jen Hahn and Jonah Delso.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/95dde03da41e47448260c66b17d15c2a/
,,,,,Hypnosis: Does It Really Work?,"What is hypnosis? Is it mind control? Are some people just faking? We’re revisiting this episode in which we explore the science of hypnosis and take Science Vs to the edge of consciousness. In the service of journalism, Wendy tries to get hypnotized at a comedy club and in a doctor’s office. We talk to comedian Jim Spinnato, Prof. Philip Muskin, Prof. Amanda Barnier, and Prof. Amir Raz. Find our transcript here: bit.ly/sciencevshypnosis This episode was produced by Heather Rogers, Michelle Dang and Wendy Zukerman, with help from Kaitlyn Sawrey, Austin Mitchell, Diane Wu, and Shruti Ravindran. Edited by Annie-Rose Strasser, Caitlin Kenney and Blythe Terrell. Fact checking by Michelle Harris and Ekedi Fausther-Keeys. Sound design and music production by Matthew Boll, mixed by Martin Peralta and Peter Leonard. Music written by Martin Peralta, Bobby Lord, Peter Leonard and Emma Munger. Thanks to Alex Blumberg for being the man that spoke pretty often in the end … and Jonathan Goldstein from the very amazing podcast Heavyweight for being our CIA agent. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/0f7a38fbbbc2449e9d44181c57f40566/
,,,,,Deodorant: Is It Dangerous?,"Today, we’re diving into your armpits! We’ll find out why some of us are so freaking smelly. And then we’re asking: Are deodorants and antiperspirants safe, or should we ditch our sticks? We’ll talk to microbiologist Professor Gavin H Thomas, microbiologist Research Associate Professor Julie Horvath, epidemiologist Associate Professor Hanno Ulmer, and epidemiologist Professor Julia Knight. Here’s a link to our transcript: https://bit.ly/sciencevsdeodorant This episode was produced by Meryl Horn, with help from Michelle Dang, Disha Bhagat, Rose Rimler, Courtney Gilbert, and Wendy Zukerman. We’re edited by Blythe Terrell. Additional editing help from Caitlin Kenney and Nicole Beemsterboer. Wendy Zukerman is our Executive Producer. Fact checking by Erica Akiko Howard. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, and Peter Leonard. Thanks to all our listeners who left voicemails about their stinky pitties. And a big thanks to the researchers we spoke to, including Professor Philippa Darbre, Dr. Andreas Natsch, Dr. Rianne de Ligt, Dr. Cory Hartman, Dr. Kanika Khanna, Dr. Chris Callewaert, Dr. Caroline Allen, Professor Kris Graham McGrath, Dr. Adeline Kikam, Dr. Jamie Alan, and Professor Cornelia Baines. Special thanks to Krystal Hawes-Dressler, Hannah Chinn, Stevie Lane, as well as Jonathan Goldstein. He read our old timey deodorant ad. By the way, Jonathan’s show, Heavyweight, is BACK! The new season is here and it’s great. You can find it here: https://spoti.fi/3hB3F9a  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/353f34c197054e6bba1ba3e91319074b/
,,,,,The Male Pill: When Is It Coming?,"A male birth control pill has been this big tease for decades. And today, with the overturning of Roe v. Wade … a male pill might matter more than ever. So we’re grabbing science by the balls to find out – where is it? Will it ever get to the shelves? We talk to physicians Prof. John Amory and Dr. Brian Nguyen. Find our transcript here: https://bit.ly/3zq9dcqThis episode was produced by Michelle Dang, with help from Disha Bhagat, Rose Rimler and Meryl Horn. We’re edited by Blythe Terrell. Additional editing help on this episode from Caitlin Kenney and Jorge Just. Wendy Zukerman is our Executive Producer. Fact checking by Diane Kelly. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, and Peter Leonard. Special thanks to Thomas Rossetti, Jacob Rimler and Jack Weinstein.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/eb6947655c9d4d3eb29c9b9606753e6d/
,,,,,The Mystery of the Man Who Died Twice,"A dead body turns up with a stolen identity. We tell the story of how a grandmother tracked down the truth — and helped create a whole new and controversial world of crime fighting. To tell this story, we talk to U.S. Marshal Peter Elliott, Dr. Margaret Press, and Phil Nichols. [REBROADCAST]CN: This episode discusses suicide. If you or someone you know is experiencing a mental health crisis, in the U.S. you can call or text 988 to reach the government’s suicide and crisis help line. More mental health resources are available at spotify.com/resources.Find our transcript here: https://bit.ly/3Rf1Vj1This episode was produced by Rose Rimler and Kaitlyn Sawrey with help from Wendy Zukerman, Meryl Horn and Odelia Rubin. We’re edited by Blythe Terrell. Editing help from Alex Blumberg and Caitlin Kenney. Fact checking by Michelle Harris and Ekedi Fausther-Keeys. Mix and sound design by Emma Munger. Music by Emma Munger and Bobby Lord. A huge thanks to all the people we got in touch with for this episode, including Dr. Colleen Fitzpatrick at DNA Doe Project and Curtis Rogers at GEDmatch. Recording help from Selene Ross, Tana Weingartner and Daniel Robison. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/8497fc87388a4965bd8883f1d012328e/
,,,,,Mass Shootings: How Do We Stop Them?,"Buffalo. Uvalde. Highland Park. These mass shootings keep happening. One side says the problem is the guns, and the other side says the problem is the people. Who’s right? And what policies might actually work to stop mass shootings? We talk to NSSF spokesperson Mark Oliva, gun control researcher Prof. Mark Gius, criminologist Dr. Jillian Peterson, and epidemiologist Dr. Veronica Pear. CN: This episode discusses suicide. If you or someone you know is experiencing a mental health crisis, in the U.S. you can call or text 988 to reach the government’s suicide and crisis help line. More mental health resources are available at spotify.com/resources.Link to our transcript: https://bit.ly/3VsbWeYFor more on this topic, check outScience Vs Gun ViolenceScience Vs Gun ControlThis episode was produced by Rose Rimler, with help from Disha Bhagat, Meryl Horn and Michelle Dang. We’re edited by Blythe Terrell. Additional editing help from Caitlin Kenney and Nicole Beemsterboer. Wendy Zukerman is our executive producer. Fact checking by Erica Akiko Howard. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, Peter Leonard and SoWylie. Thanks to all the scientists we spoke to for this episode, including Prof. Adam Lankford, Dr. Cassandra Crifasi, Dr. Emma Fridel, Prof. Emmy Betz, Dr. Jackie Schildkraut, Dr. Kaitlin Boyle, Dr. Paul Reeping, Dr. Rosanna Smart, Dr. Sonali Rajan, Dr. Tristan Bridges, and Dr. Tara Tober. Special thanks to Jack Weinstein.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/c1f16fea3ab043b0ad1f7bd6c4d93ddc/
,,,,,Should We Compost Human Bodies?,"What's the greenest way to die? Some nerds are saying that our bodies should go the way of our veggie scraps — and become compost. But will people get on board with spreading Grandpa in the garden? To find out, we talk to Brie Smith, Micah Truman, Katrina Spade and Thomas Bass.Link to our transcript: https://bit.ly/svhumancomposting This episode was produced by Blythe Terrell and Wendy Zukerman, with help from Meryl Horn, Michelle Dang, Rose Rimler, Courtney Gilbert and Disha Bhagat. Were edited by Blythe Terrell and Caitlin Kenney. Fact checking by Eva Dasher. Mix and sound design by Sam Bair. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, So Wylie and Peter Leonard. Thanks to all of the researchers we got in touch with for this episode, including Dr John Paul, Dr Lynne Carpenter-Boggs, Dr Muriel Lepesteur, Jean F. Bonhotal, Dr Mark Pawlett, Professor Komla Tsey, Dr Ruth McManus and Dr Julie Rugg. Special thanks to Jimmy Olson, Jonathan Goldstein, Julia Martin, the Zukerman Family and Joseph Lavelle Wilson. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/f6890c1894b449cd9f80598ee20975c2/
,,,,,The Fight to Fix a Racist Medical Gadget,"The EEG is an incredibly important medical tool — and it’s been failing Black patients for decades. So today we’ll hear from two young, Black scientists who teamed up with hairdressers to do something about it. We speak to neurologist Dr. Jessie Baity, engineer Arnelle Etienne, biomedical scientist Lietsel Jones, and hairstylist Nina Woodley. Link to our transcript: https://bit.ly/sciencevsEEG This episode was produced by Taylor White, Meryl Horn and Wendy Zukerman, with help from Rose Rimler, Michelle Dang, Ekedi Fausther-Keeys, Courtney Gilbert, and Disha Bhagat. We’re edited by Blythe Terrell. Wendy Zukerman is the Executive Producer. Fact checking by Eva Dasher and Disha Bhagat. Mix and sound design by Catherine Anderson. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, Peter Leonard and SoWylie. Thanks to the scientists we spoke to for this episode, including Dr. Christina Patterson, Dr. Pulkit Grover, Dr. Katherine Stavropoulos, Dr. Shannon Burns, Dr. Achuta Kadambi, Dr. Lauren Whitehurst, Dr. Zeniab Kone, Dr. Symon Kariuki, Nwabisa Mlandu, Carla Bailey, De-Shaine Murray, Dr. Jasmine Kwasa, Dr. Marieke Dekker, Prof. William Matuja, and all the researchers at Black in Neuro. Also thanks to everyone who talked to us about their EEG experiences. Special thanks to Ashwati Krishnan, Tarana Laroia, Evangeline Mensah-Agyekum, Bethel Habte, Brendan Klinkenberg and Rosie Guerin.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/9b5f8da893d94b4fafd3922806b2023b/
,,,,,Vegans: Are They Right?,"Do vegans have a right to be so smug? We’re finding out whether it really is better for the environment, and our bodies, to go vegan. We speak to environmental researcher Joseph Poore, historian Prof. Connie Hilliard, anthropologist Prof. Katharine Milton, and nutrition researcher Prof. Roman Pawlak.A version of this episode originally ran in 2018; today’s episode contains updated science.Check out the transcript here: https://bit.ly/vegansupdated The episode was produced by Rose Rimler and Wendy Zukerman, along with Meryl Horn, Odelia Rubin and Kaitlyn Sawrey. Editing by Blythe Terrell and Caitlin Kenney. Fact checking by Michelle Harris and Erica Akiko Howard. Mix and sound design by Emma Munger and Bumi Hidaka. Music by Emma Munger, Bumi Hidaka and Bobby Lord. Recording assistance from Robbie MacInnes, Paul Reece, Spencer Silva, and Hady Mawajdeh. For this episode we also spoke to Connie Weaver, Nathan H. Lents, Mark Bolland, Ambrish Mithal, Marco Springmann, Mary Beth Hall, Tara Garnett, Tom Sanders, Frederick Leroy, and others. Thank you so much for your help. And a big thanks to the Zukerman family and Joseph Lavelle Wilson.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/a074e1a777fd4621928af065d4be97f4/
,,,,,Hydration: Are You Drinking Enough Water?,"Celebs and wellness blogs treat water like a magic elixir that will make us the most attractive and healthiest version of ourselves. But do these claims hold water? And how much do we really need to be drinking to stay healthy? We speak to Professor Hollie Raynor, Professor Stavros Kavouras and Dr. Tamara Hew-Butler to find out.Find our transcript here: https://bit.ly/3AEtH0WThis episode was produced by Wendy Zukerman, with help from Nick DelRose, Michelle Dang, Meryl Horn, Courtney Gilbert, Rose Rimler and Disha Bhagat. We’re edited by Blythe Terrell with help from Caitlin Kenney. Fact checking by Diane Kelly. Mix and sound design by Sam Bair. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, So Wylie and Peter Leonard. Thanks to the researchers we got in touch with for this episode, including Dr. Andrew Brown, Dr. Jason Lee Kai, Dr. Jodi Stookey, Dr. Vincent Ho, Dr. Tristan Struja, Dr. Stephen Goodall, Dr. Ekua Annobil, Professor Barbara Rolls and Dr. Krista Casazza. Special thanks to Rasha Aridi, Eric Mennel, The Zukerman Family and Joseph Lavelle Wilson. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/03ffe1c88ea642bdaebd864ab3d0a8fa/
,,,,,We're Back for Season THIRTEEN,"There’s tons of misinformation, fads and strong opinions floating around out there — but then there’s SCIENCE. Season 13 starts on September 8! Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/d36c87c623a84969863ea921ecfa36bd/
,,,,,Fauci on Monkeypox: What Went Wrong,"We called up Dr. Anthony Fauci to talk about monkeypox. We wanted to know — what’s the deal with the slow response here? And why haven’t we gotten this virus under control?Here’s a link to our transcript: https://bit.ly/3BB7WBi This episode was produced by Wendy Zukerman, Michelle Dang, Meryl Horn, Courtney Gilbert, Rose Rimler, Nick DelRose and Disha Bhagat. We’re edited by Blythe Terrell. Mix and sound design by Sam Bair. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/1b01e83ad7504e109245fcfc3aab905a/
,,,,,Monkeypox: What's Going On?,"Monkeypox has been spreading around the world. So … what exactly is this disease? How worried should we be, and how can people stay safe? We talk to Dr. Carlton Thomas, Professor Chloe Orkin and Professor Yan Xiang.Check out our transcript (with 147 citations!): https://bit.ly/sciencevsmonkeypox And if you are looking for another great podcast on this, check out A Bumpy Ride. It’s by Leo Herrera, and it’s really beautiful.This episode was produced by Wendy Zukerman, Michelle Dang, Meryl Horn, Courtney Gilbert, Rose Rimler, Nick DelRose, and Disha Bhagat. Additional help from Ekedi Fausther-Keeys. We’re edited by Blythe Terrell. Fact checking by Erica Akiko Howard. Mix and sound design by Sam Bair. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, Peter Leonad and SoWylie. Thanks to the researchers we got in touch with for this episode, including Dr. Agam Rao, Professor Asma Khalil, Professor Siddappa Byrareddy, Professor Preeti Malani, and Dr. Hugh Adler. Special thanks to LeRoy G. Robinson, Jr., Randy Tigue, Nick Lem, The Zukerman Family and Joseph Lavelle Wilson. And thanks so much to everyone who spoke to us about their experience with monkeypox. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/05a54178850046dc91a07f29d1e632b5/
,,,,,Abortion: The Science and the Supreme Court,"Last week, the U.S. Supreme Court overturned Roe v. Wade. And in their opinion, we found a lot of scientific-sounding statements. So we wanted to find out whether these statements are true. We’ll tell you what actually happens in an abortion, whether a fetus can feel pain, and what the risks are for a pregnant person. We visit an abortion clinic in Texas and talk to Dr. Amita Murthy, Dr. Lisa Harris, and Dr. Diana Greene Foster.Find our transcript here: https://bit.ly/3OBfveKThis episode was produced by Heather Rogers, Meryl Horn, Wendy Zukerman, Ben Kuebrich, Kaitlyn Sawrey, Shruti Ravindran, Courtney Gilbert, Rose Rimler and Michelle Dang. Edited by Annie-Rose Strasser and Blythe Terrell. Fact checking by Diane Kelly and Ekedi Fausther-Keeys. Extra help with production and editorial from Rachel Ward, Alex Blumberg and Jorge Just. Music production and original music written by Bobby Lord. Mix and sound design by Bobby Lord, Catherine Anderson and Emma Munger. Thanks to Dr. Lola Pellegrino, Ronnie Shankar, Dr. Diane Horvath-Cosper, Rachel Jones, Elizabeth Nash, Dr Yoon-Jin Kim, Delma Limones. and Gilda Sedgh. Also thanks to Katie Bishop and Reverend David Gushee.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/16cbc80673714741ad862f94953ad4e3/
,,,,,Nightmare on Science Street,"Today, we’re sharing a collection of spooky science stories. You’ll hear about a nightmare in the ocean, a nightmare on land, and even a nightmare … IN YOUR MIND. We talk to scientists including marine biologist, Dr. Olga Shpak and malacologist Jaynee Kim.Find our transcript here: https://bit.ly/3O4Ag22 See the video Olga’s team shot of killer whales attacking a bowhead here: https://www.youtube.com/watch?v=OskmkWV0Ypk This episode was produced by Wendy Zukerman, Michelle Dang, Meryl Horn, Ilya Kolmanovsky, and Rose Rimler. Extra help from Courtney Gilbert. We’re edited by Blythe Terrell. Wendy Zukerman is the Executive Producer. Fact checking by Diane Kelly. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord and SoWylie. Our amazing Barbershop Quartet is Bobby Lord, Peter Leonard and Austin Mitchell. Thanks to the researchers we got in touch with for this episode, including Katharina Lüth and Dr. David Wyler. Special thanks to everyone who helped us this season!! Rasha Aridi, Nick DelRose, Ekedi Fausther-Keeys, Jack Weinstein, Chris Suter, Ingrid Gilbert, Kayla Stokes, Lonnie Ro, Wade and Christabel Nsiah Buadi, The Zukerman Family and Joseph Lavelle Wilson.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/f2a47d520ab0481a9e7c1f26adbd2661/
,,,,,Placebo: Can the Mind Cure You?,"[REBROADCAST] Could fake medicine actually take away your pain or treat a disease? We dig into the science of placebos to find out more about the power of the mind to heal. We speak to medical researcher Prof. Ted Kaptchuk, neuroscientist Prof. Fabrizio Benedetti and medical psychologist Prof. Manfred Schedlowski. Check out the full transcript here: https://bit.ly/3xaPKM3 This episode was produced by Wendy Zukerman, with help from Rose Rimler, Meryl Horn, Kaitlyn Sawrey and Michelle Dang. We’re edited by Blythe Terrell. Editing help from Caitlin Kenney. Fact checking by Michelle Harris and Erica Akiko Howard. Mix and sound design by Bumi Hidaka and Peter Leonard. Music by Peter Leonard, Emma Munger and Bobby Lord. Recording assistance from Fabian Mirko May, Mary Dooe and Maggie Penman. A huge thanks to all the scientists we got in touch with for this episode, including Dr Diletta Barbiani, Dr Cynthia McRae, Dr J Bruce Moseley, Professor Apkar Apkarian, Professor Jon Stoessl,and others. And special thanks to Lynda McKenzie, the Zukerman family, and Joseph Lavelle Wilson Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/308a277d2f574c4aa7fa84bfcfb4346d/
,,,,,A Mystery in the Air,"When a little girl, Ella Kissi-Debrah, suddenly got sick and landed in the hospital, doctors were stumped. In this episode, her mom, Rosamund, takes on the fight to find out what exactly happened to Ella. And the answer has BIG implications — for us all. We’ll hear from Rosamund Adoo-Kissi-Debrah and Professor Stephen Holgate.Find our transcript here: https://bit.ly/3z17Gdv This episode was produced by Ekedi Fausther-Keeys with help from Rose Rimler, Wendy Zukerman, Michelle Dang, Meryl Horn, and Courtney Gilbert. We’re edited by Blythe Terrell. Wendy Zukerman is the Executive Producer. Extra help from Saidu Tejan-Thomas, Nicole Beemsterboer, Kendra Pierre-Louis, and Alex Blumberg. Fact checking by Erica Akiko Howard. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Peter Leonard, Emma Munger, Bobby Lord and SoWylie. Thanks to the researchers and experts we got in touch with for this episode, including Jocelyn Cockburn, Professor Vernon Morris, Dr. George Thurston, Dr. Lauren Zajac, Dr. Jennifer Burney, Dr. Sacoby Wilson, Dr. Melissa Burroughs, Dr Wei Peng, Professor Barbara Hoffman, Dr. Michael Craig, and Dr. Wes Austin. Special thanks to Rachel Humphreys, BBC Motion Gallery / Getty Images, Jonah Delso, Jackie Llanos, The Zukerman Family and Joseph Lavelle Wilson.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/5f6681c73ef745639b0af508bdff2266/
,,,,,ASMR: How Whispering Hijacks the Brain,"ASMR is huge. People say these videos of someone whispering or making soft sounds can make them feel all tingly inside, and even help them feel calm and less anxious. So, what’s going on here? We talk to scientists who have looked into what’s happening in our bodies and brains when we experience an “autonomous sensory meridian response.” You’ll hear from Dr. Giulia Poerio, Dr. Bryson Lochte and Professor Craig Richard — as well as ASMR artist Mike Bryant - aka The Velvet Whisperer. Craig Richard has a podcast called ""Sleep Whispers"" if you want to check it out: https://www.silkpodcasts.com/ Transcript: https://bit.ly/3yy5Gt5This episode was produced by Meryl Horn, with help from Courtney Gilbert, Wendy Zukerman, Rose Rimler, Michelle Dang, and Ekedi Fausther-Keeys. We’re edited by Blythe Terrell. Fact checking by Diane Kelly. Mix and sound design by Bumi Hidaka. Music Written by So Wylie, Bumi Hidaka, Bobby Lord and Peter Leonard. Thanks to the researchers we got in touch with for this episode, including Dr. Damiaan Denys, Dr. Phil Gander and Matt Frank. And thanks to Nolwazi Nene, the Zukerman family and Joseph Lavelle Wilson. Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/ec40ccc3c9544a00836f0c08276fe5af/
,,,,,Serial Killers: The Mind of a Murderer,"[REBROADCAST] What makes a serial killer? What drives them to kill again and again? To find out the truth about this ghastly lot, we talked to forensic psychologist Prof. Eric Hickey, criminologist Ass. Prof. Wayne Petherick, and psychiatrist Prof. Gwen Adshead.Find our transcript here: https://bit.ly/39HcSsvNote: in this episode we discuss homicide, and sexual violence. Please take care when listening to the show, and here are some resources:National Mental Health Helpline: 1-800-662-HELP (4357).National Hotline for Crime Victims: 1-855-4-VICTIM (1-855-484-2846) National Sexual Assault Hotline: 1-800-656-HOPE (4673) Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/8146abb7067c4fbd91d57527f0ced755/
,,,,,Processed Food: A Load of Baloney?,"We hear over and over that processed food is bad for us. But is there actually something funky going on here — or is it just junk food? We dig into what these foods are doing to our bodies. You’ll hear from Dr. Kevin Hall, Prof. Carlos Monteiro, Dr. Cathrina Edwards, and Dr. Sheela Sathyanarayana. Find our transcript here: https://bit.ly/3xYhHHZ This episode was produced by Rose Rimler with help from Michelle Dang, Meryl Horn, Ekedi Fausther-Keeys, and Rasha Aridi. Our executive producer is Wendy Zukerman. We’re edited by Blythe Terrell. Fact checking by Erica Akiko Howard. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Peter Leonard, Emma Munger, Marcus Bagala, and Bobby Lord. Thanks to all the researchers we got in touch with for this episode, including Dr. Anthony Fardet, Dr. Bernard Srour, Prof. Jose Miguel Aguilera, Dr. Mathilde Touvier, Dr. Melissa Melough, Dr. Rachel Laudan, Prof. Niyati Parekh, and lots of others. Special thanks to Paul Adams.  Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/ab39daf1b14f41b69fe7455642e226f7/
,,,,,The Story of a Covid Wonder Drug,"Today, we’re digging into the weird and wooly world of ivermectin. When promising papers came out early in the pandemic, a lot of scientists got excited about the drug, but then … cracks started to show. We went down the rabbit hole and realized that there's way more to this story than the headlines. We’ll hear from Dr. Pierre Kory, as well as Jack Lawrence, Dr. Kyle Sheldrick, and Professor Roy Gulick.Find our transcript here: https://bit.ly/3k1dknq Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/eb066831259f4c20a5624cea0d460c31/
